============================================================
MAT Pseudo-Grid LWM (Method 2: 8×16) — Pre-training
============================================================
Log file    : mask_aware_tf/mat_pseudo_lwm_weights.log
Device      : cuda
Scenarios   : ['O1_3p5_v1', 'O1_3p5_v2', 'Boston5G_3p5', 'asu_campus1']
AMP         : disabled
Epochs      : 100
Batch size  : 64
LR          : 0.0001 | Weight decay: 1e-05
Scheduler   : StepLR(step=10, gamma=0.9)
Mask ratio  : 0.15
Save path   : mask_aware_tf/mat_pseudo_lwm_weights.pth
------------------------------------------------------------
Dataset — train: 898605, val: 224651, test: 1
============================================================

Epoch 1/100
----------------------------------------
Learning Rate: 0.000100
  step  4500/14041 | loss 36.7364 | data 0.0 ms | step 3.9 ms | 16549.7 samples/s
  step  4550/14041 | loss 37.2071 | data 0.1 ms | step 3.8 ms | 16787.6 samples/s
  step  4600/14041 | loss 39.5804 | data 0.1 ms | step 4.1 ms | 15796.0 samples/s
  step  4650/14041 | loss 34.5458 | data 0.0 ms | step 3.9 ms | 16501.6 samples/s
  step  4700/14041 | loss 40.8350 | data 0.0 ms | step 4.0 ms | 16201.9 samples/s
  step  4750/14041 | loss 35.0781 | data 0.0 ms | step 3.9 ms | 16566.7 samples/s
  step  4800/14041 | loss 36.0626 | data 0.0 ms | step 3.9 ms | 16448.6 samples/s
  step  4850/14041 | loss 35.0385 | data 0.0 ms | step 3.9 ms | 16455.0 samples/s
  step  4900/14041 | loss 38.5691 | data 0.0 ms | step 3.8 ms | 16623.6 samples/s
  step  4950/14041 | loss 32.6408 | data 0.1 ms | step 4.2 ms | 15366.7 samples/s
  step  5000/14041 | loss 35.1986 | data 0.1 ms | step 4.5 ms | 14264.5 samples/s
  step  5050/14041 | loss 34.4935 | data 0.1 ms | step 4.4 ms | 14555.9 samples/s
  step  5100/14041 | loss 31.3658 | data 0.1 ms | step 4.4 ms | 14525.1 samples/s
  step  5150/14041 | loss 37.1172 | data 0.1 ms | step 4.4 ms | 14476.0 samples/s
  step  5200/14041 | loss 33.5442 | data 0.1 ms | step 4.5 ms | 14140.8 samples/s
  step  5250/14041 | loss 39.6987 | data 0.0 ms | step 4.4 ms | 14559.1 samples/s
  step  5300/14041 | loss 35.2680 | data 0.1 ms | step 4.4 ms | 14621.4 samples/s
  step  5350/14041 | loss 34.9074 | data 0.1 ms | step 4.4 ms | 14489.7 samples/s
  step  5400/14041 | loss 36.2987 | data 0.1 ms | step 4.5 ms | 14134.3 samples/s
  step  5450/14041 | loss 37.9623 | data 0.0 ms | step 4.5 ms | 14248.0 samples/s
  step  5500/14041 | loss 36.6712 | data 0.1 ms | step 4.5 ms | 14233.0 samples/s
