============================================================
MAT-ViT-LWM (Method 1: 32×32 ViT) — Pre-training
============================================================
Log file    : mask_aware_tf/mat_vit_lwm_weights.log
Device      : cuda
Scenarios   : ['O1_3p5_v1', 'O1_3p5_v2', 'Boston5G_3p5', 'asu_campus1']
Num workers : 8 | Pin memory: True
AMP         : disabled
Epochs      : 100
Batch size  : 64
LR          : 0.0001 | Weight decay: 1e-05
Scheduler   : StepLR(step=10, gamma=0.9)
Scheduler per batch: False
Seed        : 0
SNR (dB)    : None
Mask ratio  : 0.15
Save path   : mask_aware_tf/mat_vit_lwm_weights.pth
------------------------------------------------------------
Dataset sizes — train: 898605, val: 224651, test: 1
Batches per epoch — train: 14041, val: 3511, test: 1
============================================================

Epoch 1/100
----------------------------------------
Learning Rate: 0.000100
Batch Size   : 64
  step  3700/14041 | loss 1.3320 | data 0.1 ms | step 23.6 ms | 2716.3 samples/s
  step  3750/14041 | loss 1.0831 | data 0.1 ms | step 24.1 ms | 2653.2 samples/s
  step  3800/14041 | loss 1.3480 | data 0.1 ms | step 24.3 ms | 2636.1 samples/s
  step  3850/14041 | loss 2.0988 | data 0.1 ms | step 24.8 ms | 2583.5 samples/s
  step  3900/14041 | loss 1.5554 | data 0.1 ms | step 24.6 ms | 2596.8 samples/s
  step  3950/14041 | loss 1.2772 | data 0.1 ms | step 26.3 ms | 2436.7 samples/s
  step  4000/14041 | loss 1.2216 | data 0.1 ms | step 26.7 ms | 2394.9 samples/s
  step  4050/14041 | loss 1.2292 | data 0.1 ms | step 26.7 ms | 2399.8 samples/s
  step  4100/14041 | loss 1.0801 | data 0.1 ms | step 26.4 ms | 2426.2 samples/s
  step  4150/14041 | loss 1.9704 | data 0.1 ms | step 24.9 ms | 2572.7 samples/s
  step  4200/14041 | loss 1.4315 | data 0.1 ms | step 23.7 ms | 2702.7 samples/s
  step  4250/14041 | loss 1.1794 | data 0.1 ms | step 23.7 ms | 2703.8 samples/s
  step  4300/14041 | loss 1.5246 | data 0.1 ms | step 23.8 ms | 2686.8 samples/s
  step  4350/14041 | loss 1.5569 | data 0.1 ms | step 24.0 ms | 2668.5 samples/s
  step  4400/14041 | loss 1.3846 | data 0.1 ms | step 24.3 ms | 2631.7 samples/s
  step  4450/14041 | loss 1.7793 | data 0.1 ms | step 25.0 ms | 2558.5 samples/s
  step  4500/14041 | loss 2.0144 | data 0.1 ms | step 27.2 ms | 2357.2 samples/s
  step  4550/14041 | loss 2.0060 | data 0.1 ms | step 25.0 ms | 2558.2 samples/s
  step  4600/14041 | loss 2.4844 | data 0.1 ms | step 24.2 ms | 2639.7 samples/s
  step  4650/14041 | loss 1.9237 | data 0.1 ms | step 24.6 ms | 2603.1 samples/s
  step  4700/14041 | loss 1.9393 | data 0.1 ms | step 25.0 ms | 2562.4 samples/s
  step  4750/14041 | loss 2.3026 | data 0.1 ms | step 28.1 ms | 2277.9 samples/s
  step  4800/14041 | loss 1.7770 | data 0.1 ms | step 28.1 ms | 2273.7 samples/s
  step  4850/14041 | loss 1.6217 | data 0.1 ms | step 27.4 ms | 2335.3 samples/s
  step  4900/14041 | loss 1.4043 | data 0.1 ms | step 25.2 ms | 2537.6 samples/s
  step  4950/14041 | loss 1.4993 | data 0.1 ms | step 24.3 ms | 2637.8 samples/s
  step  5000/14041 | loss 1.6078 | data 0.1 ms | step 24.0 ms | 2663.6 samples/s
  step  5050/14041 | loss 1.4739 | data 0.1 ms | step 23.8 ms | 2690.0 samples/s
  step  5100/14041 | loss 1.2353 | data 0.1 ms | step 24.1 ms | 2652.9 samples/s
  step  5150/14041 | loss 1.3369 | data 0.1 ms | step 25.0 ms | 2555.9 samples/s
  step  5200/14041 | loss 1.3660 | data 0.1 ms | step 24.1 ms | 2656.7 samples/s
  step  5250/14041 | loss 1.5744 | data 0.1 ms | step 24.3 ms | 2635.9 samples/s
  step  5300/14041 | loss 1.3495 | data 0.1 ms | step 24.2 ms | 2649.4 samples/s
  step  5350/14041 | loss 1.4397 | data 0.1 ms | step 24.3 ms | 2636.5 samples/s
  step  5400/14041 | loss 1.2131 | data 0.1 ms | step 25.5 ms | 2508.6 samples/s
  step  5450/14041 | loss 1.1785 | data 0.1 ms | step 25.1 ms | 2548.0 samples/s
  step  5500/14041 | loss 1.3064 | data 0.1 ms | step 27.8 ms | 2300.3 samples/s
  step  5550/14041 | loss 1.5017 | data 0.1 ms | step 28.4 ms | 2256.8 samples/s
  step  5600/14041 | loss 1.2026 | data 0.1 ms | step 25.9 ms | 2467.8 samples/s
  step  5650/14041 | loss 1.4302 | data 0.1 ms | step 24.1 ms | 2653.9 samples/s
  step  5700/14041 | loss 1.1900 | data 0.1 ms | step 23.9 ms | 2683.2 samples/s
  step  5750/14041 | loss 1.2104 | data 0.1 ms | step 24.2 ms | 2648.1 samples/s
  step  5800/14041 | loss 1.2080 | data 0.1 ms | step 24.0 ms | 2664.4 samples/s
  step  5850/14041 | loss 1.3196 | data 0.1 ms | step 25.4 ms | 2515.2 samples/s
  step  5900/14041 | loss 1.3759 | data 0.1 ms | step 26.7 ms | 2394.1 samples/s
  step  5950/14041 | loss 1.1749 | data 0.1 ms | step 24.1 ms | 2658.7 samples/s
  step  6000/14041 | loss 1.6578 | data 0.1 ms | step 23.7 ms | 2700.2 samples/s
  step  6050/14041 | loss 1.3556 | data 0.1 ms | step 24.2 ms | 2645.3 samples/s
  step  6100/14041 | loss 1.2482 | data 0.1 ms | step 26.3 ms | 2437.4 samples/s
  step  6150/14041 | loss 1.0749 | data 0.1 ms | step 24.9 ms | 2565.9 samples/s
  step  6200/14041 | loss 1.2662 | data 0.1 ms | step 24.9 ms | 2565.6 samples/s
  step  6250/14041 | loss 1.0504 | data 0.1 ms | step 28.3 ms | 2263.4 samples/s
  step  6300/14041 | loss 1.1077 | data 0.1 ms | step 26.4 ms | 2426.4 samples/s
