Starting DDP Training: World Size 2, Batch Size 256 (Global 512)
Epoch 1
Starting DDP Training: World Size 2, Batch Size 256 (Global 512)
Epoch 1
Starting DDP Training: World Size 2, Batch Size 256 (Global 512)
Epoch 1
  step  1150/1558 | loss 0.5571 | data 0.1 ms | step 70.2 ms | 7294.2 samples/s
  step  1200/1558 | loss 0.5644 | data 0.1 ms | step 72.2 ms | 7095.6 samples/s
  step  1250/1558 | loss 0.5706 | data 0.1 ms | step 73.7 ms | 6949.4 samples/s
  step  1300/1558 | loss 0.5594 | data 0.1 ms | step 73.6 ms | 6956.0 samples/s
  step  1350/1558 | loss 0.5477 | data 0.1 ms | step 73.8 ms | 6934.3 samples/s
  step  1400/1558 | loss 0.5454 | data 0.1 ms | step 73.5 ms | 6962.7 samples/s
  step  1450/1558 | loss 0.5235 | data 0.1 ms | step 73.8 ms | 6935.3 samples/s
  step  1500/1558 | loss 0.5410 | data 0.1 ms | step 73.5 ms | 6966.3 samples/s
  step  1550/1558 | loss 0.5095 | data 0.2 ms | step 73.5 ms | 6963.7 samples/s
Train Loss: 0.6164
Epoch 3
  step    50/1558 | loss 0.5056 | data 6.2 ms | step 70.1 ms | 7306.9 samples/s
  step   100/1558 | loss 0.5122 | data 0.1 ms | step 72.6 ms | 7057.0 samples/s
  step   150/1558 | loss 0.4962 | data 0.1 ms | step 73.5 ms | 6969.5 samples/s
  step   200/1558 | loss 0.4943 | data 0.1 ms | step 72.8 ms | 7029.7 samples/s
  step   250/1558 | loss 0.4870 | data 0.1 ms | step 74.1 ms | 6912.9 samples/s
  step   300/1558 | loss 0.4891 | data 0.1 ms | step 74.2 ms | 6899.1 samples/s
  step   350/1558 | loss 0.4795 | data 0.1 ms | step 74.1 ms | 6910.1 samples/s
  step   400/1558 | loss 0.4905 | data 0.1 ms | step 73.9 ms | 6924.3 samples/s
  step   450/1558 | loss 0.4807 | data 0.1 ms | step 74.3 ms | 6888.9 samples/s
  step   500/1558 | loss 0.4700 | data 0.1 ms | step 73.2 ms | 6992.2 samples/s
  step   550/1558 | loss 0.4738 | data 0.1 ms | step 74.2 ms | 6896.8 samples/s
  step   600/1558 | loss 0.4637 | data 0.1 ms | step 74.1 ms | 6912.3 samples/s
  step   650/1558 | loss 0.4553 | data 0.1 ms | step 74.2 ms | 6897.9 samples/s
  step   700/1558 | loss 0.4499 | data 0.1 ms | step 71.1 ms | 7200.4 samples/s
  step   750/1558 | loss 0.4537 | data 0.1 ms | step 70.4 ms | 7273.3 samples/s
  step   800/1558 | loss 0.4474 | data 0.1 ms | step 70.2 ms | 7288.3 samples/s
  step   850/1558 | loss 0.4440 | data 0.1 ms | step 70.4 ms | 7271.4 samples/s
  step   900/1558 | loss 0.4319 | data 0.1 ms | step 70.3 ms | 7283.9 samples/s
  step   950/1558 | loss 0.4398 | data 0.1 ms | step 70.3 ms | 7280.8 samples/s
  step  1000/1558 | loss 0.4259 | data 0.1 ms | step 70.3 ms | 7284.2 samples/s
  step  1050/1558 | loss 0.4253 | data 0.1 ms | step 70.2 ms | 7289.5 samples/s
  step  1100/1558 | loss 0.4244 | data 0.1 ms | step 69.8 ms | 7335.4 samples/s
  step  1150/1558 | loss 0.4218 | data 0.1 ms | step 69.7 ms | 7343.0 samples/s
  step  1200/1558 | loss 0.4275 | data 0.1 ms | step 69.5 ms | 7369.2 samples/s
  step  1250/1558 | loss 0.4269 | data 0.1 ms | step 71.9 ms | 7117.4 samples/s
  step  1300/1558 | loss 0.4197 | data 0.1 ms | step 74.1 ms | 6910.1 samples/s
  step  1350/1558 | loss 0.4122 | data 0.1 ms | step 74.1 ms | 6907.4 samples/s
  step  1400/1558 | loss 0.4094 | data 0.1 ms | step 74.1 ms | 6913.0 samples/s
  step  1450/1558 | loss 0.4111 | data 0.1 ms | step 73.9 ms | 6927.4 samples/s
  step  1500/1558 | loss 0.4207 | data 0.1 ms | step 74.2 ms | 6899.8 samples/s
  step  1550/1558 | loss 0.3971 | data 0.2 ms | step 74.0 ms | 6920.3 samples/s
Train Loss: 0.4508
Epoch 4
  step    50/1558 | loss 0.3925 | data 6.2 ms | step 70.3 ms | 7281.0 samples/s
  step   100/1558 | loss 0.4080 | data 0.1 ms | step 71.2 ms | 7192.7 samples/s
  step   150/1558 | loss 0.3870 | data 0.1 ms | step 73.3 ms | 6984.9 samples/s
  step   200/1558 | loss 0.3844 | data 0.1 ms | step 73.7 ms | 6947.7 samples/s
  step   250/1558 | loss 0.3833 | data 0.1 ms | step 74.0 ms | 6915.8 samples/s
  step   300/1558 | loss 0.3884 | data 0.1 ms | step 74.0 ms | 6917.5 samples/s
  step   350/1558 | loss 0.3841 | data 0.1 ms | step 74.2 ms | 6897.8 samples/s
  step   400/1558 | loss 0.3890 | data 0.1 ms | step 74.3 ms | 6890.3 samples/s
  step   450/1558 | loss 0.3780 | data 0.1 ms | step 74.4 ms | 6881.3 samples/s
  step   500/1558 | loss 0.3789 | data 0.1 ms | step 74.2 ms | 6896.9 samples/s
  step   550/1558 | loss 0.3768 | data 0.1 ms | step 74.2 ms | 6902.1 samples/s
  step   600/1558 | loss 0.3704 | data 0.1 ms | step 74.2 ms | 6902.6 samples/s
  step   650/1558 | loss 0.3666 | data 0.1 ms | step 73.8 ms | 6934.3 samples/s
  step   700/1558 | loss 0.3614 | data 0.1 ms | step 70.5 ms | 7262.7 samples/s
  step   750/1558 | loss 0.3717 | data 0.1 ms | step 70.2 ms | 7297.2 samples/s
  step   800/1558 | loss 0.3633 | data 0.1 ms | step 70.6 ms | 7254.9 samples/s
  step   850/1558 | loss 0.3626 | data 0.1 ms | step 70.6 ms | 7255.8 samples/s
  step   900/1558 | loss 0.3553 | data 0.1 ms | step 69.0 ms | 7418.3 samples/s
  step   950/1558 | loss 0.3571 | data 0.1 ms | step 67.0 ms | 7642.6 samples/s
  step  1000/1558 | loss 0.3500 | data 0.1 ms | step 67.0 ms | 7636.2 samples/s
  step  1050/1558 | loss 0.3520 | data 0.1 ms | step 68.7 ms | 7456.5 samples/s
  step  1100/1558 | loss 0.3400 | data 0.1 ms | step 69.9 ms | 7328.1 samples/s
  step  1150/1558 | loss 0.3492 | data 0.1 ms | step 70.1 ms | 7299.8 samples/s
  step  1200/1558 | loss 0.3491 | data 0.1 ms | step 70.0 ms | 7312.0 samples/s
  step  1250/1558 | loss 0.3376 | data 0.1 ms | step 73.3 ms | 6980.4 samples/s
  step  1300/1558 | loss 0.3442 | data 0.1 ms | step 74.2 ms | 6897.9 samples/s
  step  1350/1558 | loss 0.3428 | data 0.1 ms | step 74.4 ms | 6880.3 samples/s
  step  1400/1558 | loss 0.3469 | data 0.1 ms | step 74.4 ms | 6878.3 samples/s
  step  1450/1558 | loss 0.3394 | data 0.1 ms | step 73.9 ms | 6929.4 samples/s
  step  1500/1558 | loss 0.3440 | data 0.1 ms | step 73.9 ms | 6931.4 samples/s
  step  1550/1558 | loss 0.3285 | data 0.2 ms | step 73.9 ms | 6929.8 samples/s
Train Loss: 0.3637
Epoch 5
  step    50/1558 | loss 0.3260 | data 6.4 ms | step 72.6 ms | 7050.5 samples/s
  step   100/1558 | loss 0.3276 | data 0.1 ms | step 73.9 ms | 6925.6 samples/s
  step   150/1558 | loss 0.3204 | data 0.1 ms | step 74.6 ms | 6866.4 samples/s
  step   200/1558 | loss 0.3228 | data 0.1 ms | step 74.0 ms | 6919.3 samples/s
  step   250/1558 | loss 0.3194 | data 0.1 ms | step 73.9 ms | 6925.8 samples/s
  step   300/1558 | loss 0.3196 | data 0.1 ms | step 74.2 ms | 6899.7 samples/s
  step   350/1558 | loss 0.3192 | data 0.1 ms | step 74.4 ms | 6884.7 samples/s
  step   400/1558 | loss 0.3251 | data 0.1 ms | step 74.2 ms | 6898.1 samples/s
  step   450/1558 | loss 0.3194 | data 0.1 ms | step 73.6 ms | 6952.8 samples/s
  step   500/1558 | loss 0.3107 | data 0.1 ms | step 73.9 ms | 6931.5 samples/s
  step   550/1558 | loss 0.3255 | data 0.1 ms | step 73.4 ms | 6971.2 samples/s
  step   600/1558 | loss 0.3102 | data 0.1 ms | step 74.2 ms | 6900.2 samples/s
  step   650/1558 | loss 0.3048 | data 0.1 ms | step 70.6 ms | 7251.7 samples/s
  step   700/1558 | loss 0.3008 | data 0.1 ms | step 69.7 ms | 7341.9 samples/s
  step   750/1558 | loss 0.3085 | data 0.1 ms | step 67.1 ms | 7626.2 samples/s
  step   800/1558 | loss 0.3078 | data 0.1 ms | step 67.0 ms | 7641.8 samples/s
  step   850/1558 | loss 0.3010 | data 0.1 ms | step 68.9 ms | 7434.0 samples/s
  step   900/1558 | loss 0.2866 | data 0.1 ms | step 70.4 ms | 7272.5 samples/s
  step   950/1558 | loss 0.2953 | data 0.1 ms | step 69.9 ms | 7325.8 samples/s
  step  1000/1558 | loss 0.2917 | data 0.1 ms | step 70.7 ms | 7241.1 samples/s
  step  1050/1558 | loss 0.2911 | data 0.1 ms | step 70.2 ms | 7288.4 samples/s
  step  1100/1558 | loss 0.2845 | data 0.1 ms | step 70.0 ms | 7315.6 samples/s
  step  1150/1558 | loss 0.2920 | data 0.1 ms | step 70.2 ms | 7293.5 samples/s
  step  1200/1558 | loss 0.3040 | data 0.1 ms | step 70.1 ms | 7306.9 samples/s
  step  1250/1558 | loss 0.2805 | data 0.1 ms | step 71.4 ms | 7174.1 samples/s
  step  1300/1558 | loss 0.2869 | data 0.1 ms | step 74.0 ms | 6920.1 samples/s
  step  1350/1558 | loss 0.2818 | data 0.1 ms | step 73.6 ms | 6958.8 samples/s
  step  1400/1558 | loss 0.2823 | data 0.1 ms | step 74.0 ms | 6920.6 samples/s
  step  1450/1558 | loss 0.2864 | data 0.1 ms | step 74.0 ms | 6919.2 samples/s
  step  1500/1558 | loss 0.2862 | data 0.1 ms | step 73.9 ms | 6925.6 samples/s
  step  1550/1558 | loss 0.2722 | data 0.2 ms | step 74.2 ms | 6902.1 samples/s
Train Loss: 0.3027
Epoch 6
  step    50/1558 | loss 0.2696 | data 5.9 ms | step 74.0 ms | 6922.2 samples/s
  step   100/1558 | loss 0.2769 | data 0.1 ms | step 73.5 ms | 6966.0 samples/s
  step   150/1558 | loss 0.2721 | data 0.1 ms | step 74.1 ms | 6905.1 samples/s
  step   200/1558 | loss 0.2674 | data 0.1 ms | step 73.5 ms | 6961.4 samples/s
  step   250/1558 | loss 0.2645 | data 0.1 ms | step 73.8 ms | 6938.8 samples/s
  step   300/1558 | loss 0.2686 | data 0.1 ms | step 73.8 ms | 6937.4 samples/s
  step   350/1558 | loss 0.2636 | data 0.1 ms | step 73.9 ms | 6932.7 samples/s
  step   400/1558 | loss 0.2705 | data 0.1 ms | step 74.4 ms | 6880.2 samples/s
  step   450/1558 | loss 0.2674 | data 0.1 ms | step 74.2 ms | 6902.5 samples/s
  step   500/1558 | loss 0.2560 | data 0.1 ms | step 74.6 ms | 6858.8 samples/s
  step   550/1558 | loss 0.2711 | data 0.1 ms | step 74.7 ms | 6853.1 samples/s
  step   600/1558 | loss 0.2507 | data 0.1 ms | step 73.5 ms | 6969.1 samples/s
  step   650/1558 | loss 0.2556 | data 0.1 ms | step 70.5 ms | 7264.1 samples/s
  step   700/1558 | loss 0.2478 | data 0.1 ms | step 70.4 ms | 7276.1 samples/s
  step   750/1558 | loss 0.2565 | data 0.1 ms | step 70.4 ms | 7268.1 samples/s
  step   800/1558 | loss 0.2517 | data 0.1 ms | step 69.5 ms | 7370.4 samples/s
  step   850/1558 | loss 0.2554 | data 0.1 ms | step 69.1 ms | 7404.6 samples/s
  step   900/1558 | loss 0.2429 | data 0.1 ms | step 69.3 ms | 7385.9 samples/s
  step   950/1558 | loss 0.2503 | data 0.1 ms | step 69.4 ms | 7375.3 samples/s
  step  1000/1558 | loss 0.2439 | data 0.1 ms | step 69.5 ms | 7364.4 samples/s
  step  1050/1558 | loss 0.2439 | data 0.1 ms | step 69.6 ms | 7352.0 samples/s
  step  1100/1558 | loss 0.2435 | data 0.1 ms | step 70.0 ms | 7316.7 samples/s
  step  1150/1558 | loss 0.2414 | data 0.1 ms | step 70.2 ms | 7292.0 samples/s
  step  1200/1558 | loss 0.2440 | data 0.1 ms | step 70.2 ms | 7293.7 samples/s
  step  1250/1558 | loss 0.2361 | data 0.1 ms | step 73.0 ms | 7013.9 samples/s
  step  1300/1558 | loss 0.2423 | data 0.1 ms | step 74.3 ms | 6893.0 samples/s
  step  1350/1558 | loss 0.2349 | data 0.1 ms | step 74.1 ms | 6907.0 samples/s
  step  1400/1558 | loss 0.2397 | data 0.1 ms | step 73.9 ms | 6925.5 samples/s
  step  1450/1558 | loss 0.2372 | data 0.1 ms | step 73.7 ms | 6951.7 samples/s
  step  1500/1558 | loss 0.2387 | data 0.1 ms | step 73.8 ms | 6937.9 samples/s
  step  1550/1558 | loss 0.2290 | data 0.2 ms | step 73.8 ms | 6935.8 samples/s
Train Loss: 0.2525
Epoch 7
  step    50/1558 | loss 0.2283 | data 6.1 ms | step 70.7 ms | 7242.2 samples/s
  step   100/1558 | loss 0.2353 | data 0.1 ms | step 70.1 ms | 7300.6 samples/s
  step   150/1558 | loss 0.2299 | data 0.1 ms | step 70.1 ms | 7305.8 samples/s
  step   200/1558 | loss 0.2252 | data 0.1 ms | step 72.6 ms | 7056.1 samples/s
  step   250/1558 | loss 0.2205 | data 0.1 ms | step 73.8 ms | 6933.1 samples/s
  step   300/1558 | loss 0.2216 | data 0.1 ms | step 74.4 ms | 6883.7 samples/s
  step   350/1558 | loss 0.2226 | data 0.1 ms | step 74.0 ms | 6917.8 samples/s
  step   400/1558 | loss 0.2206 | data 0.1 ms | step 73.7 ms | 6950.9 samples/s
  step   450/1558 | loss 0.2215 | data 0.1 ms | step 74.1 ms | 6910.9 samples/s
  step   500/1558 | loss 0.2231 | data 0.1 ms | step 74.3 ms | 6887.8 samples/s
  step   550/1558 | loss 0.2234 | data 0.1 ms | step 74.4 ms | 6885.7 samples/s
  step   600/1558 | loss 0.2176 | data 0.1 ms | step 74.1 ms | 6910.9 samples/s
  step   650/1558 | loss 0.2091 | data 0.1 ms | step 72.3 ms | 7078.4 samples/s
  step   700/1558 | loss 0.2062 | data 0.1 ms | step 70.2 ms | 7288.4 samples/s
  step   750/1558 | loss 0.2153 | data 0.1 ms | step 70.5 ms | 7267.0 samples/s
  step   800/1558 | loss 0.2127 | data 0.1 ms | step 70.3 ms | 7281.6 samples/s
  step   850/1558 | loss 0.2108 | data 0.1 ms | step 70.4 ms | 7275.8 samples/s
  step   900/1558 | loss 0.2066 | data 0.1 ms | step 70.3 ms | 7283.4 samples/s
  step   950/1558 | loss 0.2063 | data 0.1 ms | step 70.3 ms | 7284.7 samples/s
  step  1000/1558 | loss 0.2060 | data 0.1 ms | step 70.2 ms | 7296.6 samples/s
  step  1050/1558 | loss 0.2055 | data 0.1 ms | step 69.9 ms | 7325.4 samples/s
  step  1100/1558 | loss 0.2056 | data 0.1 ms | step 69.8 ms | 7334.2 samples/s
