============================================================
LWM v1.1 + Coordinate Attention — Pretraining
============================================================
Log file    : lwm1_1_ca/model1_1_weights_ca_e2e.log
Device      : cuda
Scenarios   : ['O1_3p5_v1', 'O1_3p5_v2', 'Boston5G_3p5', 'asu_campus1', 'city_0_newyork', 'city_1_losangeles', 'city_2_chicago', 'city_3_houston', 'city_4_phoenix', 'city_5_philadelphia', 'city_6_miami', 'city_8_dallas', 'city_9_sanfrancisco', 'city_10_austin', 'city_13_columbus', 'city_17_seattle']
Num workers : 8 | Pin memory: True
AMP         : disabled
Epochs      : 100
Batch size  : 64
LR          : 0.0001 | Weight decay: 1e-05
Scheduler   : StepLR(step=10, gamma=0.9)
Scheduler per batch: False
Seed        : 0
SNR (dB)    : None
Save path   : lwm1_1_ca/model1_1_weights_ca_e2e.pth
------------------------------------------------------------
Dataset sizes — train: 913664, val: 228416, test: 1
Batches per epoch — train: 14276, val: 3569, test: 1
============================================================

Epoch 1/100
----------------------------------------
Learning Rate: 0.000100
Batch Size   : 64
  step  5600/14276 | loss 0.0327 | data 0.1 ms | step 26.7 ms | 2399.8 samples/s
  step  5650/14276 | loss 0.0293 | data 0.1 ms | step 26.9 ms | 2381.9 samples/s
  step  5700/14276 | loss 0.0336 | data 0.1 ms | step 25.1 ms | 2552.5 samples/s
  step  5750/14276 | loss 0.0357 | data 0.1 ms | step 25.2 ms | 2538.7 samples/s
  step  5800/14276 | loss 0.0325 | data 0.1 ms | step 24.1 ms | 2655.3 samples/s
  step  5850/14276 | loss 0.0269 | data 0.1 ms | step 23.9 ms | 2677.0 samples/s
  step  5900/14276 | loss 0.0342 | data 0.1 ms | step 23.6 ms | 2711.3 samples/s
  step  5950/14276 | loss 0.0385 | data 0.1 ms | step 21.5 ms | 2971.2 samples/s
  step  6000/14276 | loss 0.0344 | data 0.1 ms | step 24.7 ms | 2590.3 samples/s
  step  6050/14276 | loss 0.0307 | data 0.1 ms | step 26.8 ms | 2385.9 samples/s
  step  6100/14276 | loss 0.0432 | data 0.1 ms | step 27.5 ms | 2326.8 samples/s
  step  6150/14276 | loss 0.0288 | data 0.1 ms | step 25.5 ms | 2511.3 samples/s
  step  6200/14276 | loss 0.0282 | data 0.2 ms | step 27.3 ms | 2344.2 samples/s
  step  6250/14276 | loss 0.0301 | data 0.1 ms | step 27.0 ms | 2368.4 samples/s
  step  6300/14276 | loss 0.0271 | data 0.1 ms | step 21.6 ms | 2958.0 samples/s
  step  6350/14276 | loss 0.0394 | data 0.1 ms | step 26.5 ms | 2410.6 samples/s
  step  6400/14276 | loss 0.0316 | data 0.1 ms | step 28.9 ms | 2215.0 samples/s
  step  6450/14276 | loss 0.0291 | data 0.1 ms | step 26.6 ms | 2408.5 samples/s
  step  6500/14276 | loss 0.0431 | data 0.1 ms | step 24.7 ms | 2596.3 samples/s
  step  6550/14276 | loss 0.0317 | data 0.1 ms | step 26.4 ms | 2424.8 samples/s
  step  6600/14276 | loss 0.0299 | data 0.1 ms | step 27.7 ms | 2310.2 samples/s
  step  6650/14276 | loss 0.0313 | data 0.1 ms | step 28.2 ms | 2269.4 samples/s
  step  6700/14276 | loss 0.0292 | data 0.1 ms | step 28.2 ms | 2271.3 samples/s
  step  6750/14276 | loss 0.0262 | data 0.1 ms | step 28.7 ms | 2230.3 samples/s
  step  6800/14276 | loss 0.0264 | data 0.1 ms | step 26.2 ms | 2446.4 samples/s
  step  6850/14276 | loss 0.0267 | data 0.1 ms | step 28.3 ms | 2264.4 samples/s
  step  6900/14276 | loss 0.0265 | data 0.1 ms | step 26.7 ms | 2396.9 samples/s
  step  6950/14276 | loss 0.0256 | data 0.1 ms | step 23.2 ms | 2762.7 samples/s
  step  7000/14276 | loss 0.0282 | data 0.1 ms | step 21.3 ms | 3006.3 samples/s
  step  7050/14276 | loss 0.0278 | data 0.1 ms | step 21.6 ms | 2962.1 samples/s
  step  7100/14276 | loss 0.0237 | data 0.2 ms | step 26.1 ms | 2456.6 samples/s
  step  7150/14276 | loss 0.0242 | data 0.1 ms | step 26.9 ms | 2374.8 samples/s
  step  7200/14276 | loss 0.0296 | data 0.1 ms | step 28.6 ms | 2239.4 samples/s
  step  7250/14276 | loss 0.0355 | data 0.1 ms | step 27.9 ms | 2294.1 samples/s
  step  7300/14276 | loss 0.0261 | data 0.1 ms | step 26.9 ms | 2377.5 samples/s
  step  7350/14276 | loss 0.0242 | data 0.1 ms | step 26.7 ms | 2398.4 samples/s
  step  7400/14276 | loss 0.0268 | data 0.1 ms | step 26.1 ms | 2451.3 samples/s
  step  7450/14276 | loss 0.0770 | data 0.1 ms | step 22.1 ms | 2891.4 samples/s
  step  7500/14276 | loss 0.0325 | data 0.1 ms | step 22.3 ms | 2866.9 samples/s
  step  7550/14276 | loss 0.0288 | data 0.1 ms | step 22.0 ms | 2911.9 samples/s
  step  7600/14276 | loss 0.0291 | data 0.1 ms | step 25.9 ms | 2469.9 samples/s
  step  7650/14276 | loss 0.0245 | data 0.1 ms | step 29.0 ms | 2207.9 samples/s
  step  7700/14276 | loss 0.0229 | data 0.1 ms | step 26.1 ms | 2449.2 samples/s
  step  7750/14276 | loss 0.0233 | data 0.1 ms | step 29.2 ms | 2194.1 samples/s
  step  7800/14276 | loss 0.0241 | data 0.1 ms | step 27.0 ms | 2372.0 samples/s
  step  7850/14276 | loss 0.0239 | data 0.2 ms | step 29.1 ms | 2196.0 samples/s
  step  7900/14276 | loss 0.0240 | data 0.1 ms | step 26.6 ms | 2407.0 samples/s
  step  7950/14276 | loss 0.0336 | data 0.1 ms | step 22.6 ms | 2834.1 samples/s
  step  8000/14276 | loss 0.0300 | data 0.1 ms | step 23.6 ms | 2711.8 samples/s
  step  8050/14276 | loss 0.0238 | data 0.1 ms | step 27.4 ms | 2332.4 samples/s
  step  8100/14276 | loss 0.0236 | data 0.1 ms | step 30.4 ms | 2106.5 samples/s
  step  8150/14276 | loss 0.0227 | data 0.1 ms | step 29.6 ms | 2160.8 samples/s
  step  8200/14276 | loss 0.0261 | data 0.1 ms | step 30.2 ms | 2117.3 samples/s
  step  8250/14276 | loss 0.0231 | data 0.1 ms | step 28.0 ms | 2287.9 samples/s
  step  8300/14276 | loss 0.0230 | data 0.1 ms | step 26.4 ms | 2421.3 samples/s
  step  8350/14276 | loss 0.0216 | data 0.1 ms | step 29.9 ms | 2138.2 samples/s
  step  8400/14276 | loss 0.0211 | data 0.1 ms | step 29.3 ms | 2185.2 samples/s
  step  8450/14276 | loss 0.0214 | data 0.1 ms | step 21.6 ms | 2960.5 samples/s
  step  8500/14276 | loss 0.0211 | data 0.1 ms | step 20.5 ms | 3124.0 samples/s
  step  8550/14276 | loss 0.0199 | data 0.1 ms | step 20.4 ms | 3139.5 samples/s
  step  8600/14276 | loss 0.0191 | data 0.1 ms | step 20.7 ms | 3090.6 samples/s
  step  8650/14276 | loss 0.0201 | data 0.1 ms | step 22.8 ms | 2803.2 samples/s
  step  8700/14276 | loss 0.0212 | data 0.1 ms | step 22.1 ms | 2892.6 samples/s
  step  8750/14276 | loss 0.0222 | data 0.1 ms | step 23.3 ms | 2744.8 samples/s
  step  8800/14276 | loss 0.0198 | data 0.1 ms | step 23.0 ms | 2777.8 samples/s
  step  8850/14276 | loss 0.0195 | data 0.1 ms | step 29.0 ms | 2205.9 samples/s
  step  8900/14276 | loss 0.0202 | data 0.1 ms | step 29.8 ms | 2149.9 samples/s
  step  8950/14276 | loss 0.0232 | data 0.1 ms | step 21.7 ms | 2945.5 samples/s
  step  9000/14276 | loss 0.0224 | data 0.1 ms | step 20.3 ms | 3149.3 samples/s
  step  9050/14276 | loss 0.0205 | data 0.1 ms | step 20.2 ms | 3165.0 samples/s
  step  9100/14276 | loss 0.0224 | data 0.1 ms | step 23.9 ms | 2681.9 samples/s
  step  9150/14276 | loss 0.0193 | data 0.1 ms | step 27.1 ms | 2364.0 samples/s
  step  9200/14276 | loss 0.0194 | data 0.1 ms | step 26.6 ms | 2402.9 samples/s
  step  9250/14276 | loss 0.0186 | data 0.1 ms | step 25.7 ms | 2493.4 samples/s
