Starting DDP Training: World Size 2, Batch Size 256 (Global 512)
Epoch 1
Starting DDP Training: World Size 2, Batch Size 256 (Global 512)
Epoch 1
  step 50/1558 | loss 1.0164 | 3538.5 samples/s
  step  1100/1558 | loss 0.1641 | data 0.1 ms | step 124.7 ms | 4104.5 samples/s
  step  1150/1558 | loss 0.1584 | data 0.1 ms | step 118.4 ms | 4324.7 samples/s
  step  1200/1558 | loss 0.1525 | data 0.1 ms | step 117.3 ms | 4365.3 samples/s
  step  1250/1558 | loss 0.1569 | data 0.1 ms | step 117.1 ms | 4371.2 samples/s
  step  1300/1558 | loss 0.1583 | data 0.1 ms | step 117.3 ms | 4364.8 samples/s
  step  1350/1558 | loss 0.1479 | data 0.1 ms | step 117.3 ms | 4366.5 samples/s
  step  1400/1558 | loss 0.1385 | data 0.1 ms | step 117.4 ms | 4361.7 samples/s
  step  1450/1558 | loss 0.1433 | data 0.1 ms | step 114.4 ms | 4476.9 samples/s
  step  1500/1558 | loss 0.1472 | data 0.1 ms | step 114.1 ms | 4486.6 samples/s
  step  1550/1558 | loss 0.1459 | data 0.2 ms | step 114.3 ms | 4480.8 samples/s
Train Loss: 0.1539
Epoch 5
  step    50/1558 | loss 0.1493 | data 7.2 ms | step 121.6 ms | 4211.8 samples/s
  step   100/1558 | loss 0.1456 | data 0.1 ms | step 114.9 ms | 4454.7 samples/s
  step   150/1558 | loss 0.1505 | data 0.1 ms | step 110.2 ms | 4645.7 samples/s
  step   200/1558 | loss 0.1501 | data 0.1 ms | step 110.6 ms | 4629.6 samples/s
  step   250/1558 | loss 0.1468 | data 0.1 ms | step 110.2 ms | 4645.8 samples/s
  step   300/1558 | loss 0.1468 | data 0.1 ms | step 110.2 ms | 4644.6 samples/s
  step   350/1558 | loss 0.1404 | data 0.1 ms | step 110.6 ms | 4628.3 samples/s
  step   400/1558 | loss 0.1523 | data 0.1 ms | step 111.0 ms | 4611.5 samples/s
  step   450/1558 | loss 0.1403 | data 0.1 ms | step 110.7 ms | 4624.1 samples/s
  step   500/1558 | loss 0.1453 | data 0.1 ms | step 110.4 ms | 4637.2 samples/s
  step   550/1558 | loss 0.1438 | data 0.1 ms | step 114.4 ms | 4475.7 samples/s
  step   600/1558 | loss 0.1448 | data 0.1 ms | step 114.0 ms | 4491.4 samples/s
  step   650/1558 | loss 0.1470 | data 0.1 ms | step 114.4 ms | 4477.4 samples/s
  step   700/1558 | loss 0.1502 | data 0.1 ms | step 114.2 ms | 4483.8 samples/s
  step   750/1558 | loss 0.1425 | data 0.1 ms | step 114.1 ms | 4487.2 samples/s
  step   800/1558 | loss 0.1432 | data 0.1 ms | step 114.1 ms | 4487.8 samples/s
  step   850/1558 | loss 0.1408 | data 0.1 ms | step 114.2 ms | 4482.2 samples/s
  step   900/1558 | loss 0.1376 | data 0.1 ms | step 114.5 ms | 4470.5 samples/s
  step   950/1558 | loss 0.1326 | data 0.1 ms | step 117.1 ms | 4374.0 samples/s
  step  1000/1558 | loss 0.1347 | data 0.1 ms | step 117.3 ms | 4366.4 samples/s
  step  1050/1558 | loss 0.1411 | data 0.1 ms | step 117.2 ms | 4368.4 samples/s
  step  1100/1558 | loss 0.1593 | data 0.1 ms | step 117.4 ms | 4362.5 samples/s
  step  1150/1558 | loss 0.1384 | data 0.1 ms | step 117.0 ms | 4377.7 samples/s
  step  1200/1558 | loss 0.1424 | data 0.1 ms | step 117.1 ms | 4374.0 samples/s
  step  1250/1558 | loss 0.1311 | data 0.1 ms | step 117.3 ms | 4366.0 samples/s
  step  1300/1558 | loss 0.1378 | data 0.1 ms | step 117.3 ms | 4363.8 samples/s
  step  1350/1558 | loss 0.1484 | data 0.1 ms | step 119.7 ms | 4278.6 samples/s
  step  1400/1558 | loss 0.1445 | data 0.1 ms | step 123.6 ms | 4141.3 samples/s
  step  1450/1558 | loss 0.1348 | data 0.1 ms | step 117.2 ms | 4367.1 samples/s
  step  1500/1558 | loss 0.1336 | data 0.1 ms | step 114.2 ms | 4485.3 samples/s
  step  1550/1558 | loss 0.1279 | data 0.2 ms | step 114.2 ms | 4482.0 samples/s
Train Loss: 0.1427
Epoch 6
  step    50/1558 | loss 0.1492 | data 7.4 ms | step 111.8 ms | 4581.4 samples/s
  step   100/1558 | loss 0.1381 | data 0.1 ms | step 110.3 ms | 4643.0 samples/s
  step   150/1558 | loss 0.1330 | data 0.1 ms | step 109.8 ms | 4663.2 samples/s
  step   200/1558 | loss 0.1432 | data 0.1 ms | step 112.7 ms | 4541.2 samples/s
  step   250/1558 | loss 0.1299 | data 0.1 ms | step 112.8 ms | 4538.3 samples/s
  step   300/1558 | loss 0.1302 | data 0.1 ms | step 112.8 ms | 4538.4 samples/s
  step   350/1558 | loss 0.1341 | data 0.1 ms | step 117.6 ms | 4352.5 samples/s
  step   400/1558 | loss 0.1308 | data 0.1 ms | step 117.4 ms | 4360.8 samples/s
  step   450/1558 | loss 0.1337 | data 0.1 ms | step 122.6 ms | 4176.9 samples/s
  step   500/1558 | loss 0.1293 | data 0.1 ms | step 121.1 ms | 4228.9 samples/s
  step   550/1558 | loss 0.1315 | data 0.1 ms | step 119.9 ms | 4268.5 samples/s
  step   600/1558 | loss 0.1368 | data 0.1 ms | step 120.0 ms | 4266.1 samples/s
  step   650/1558 | loss 0.1412 | data 0.1 ms | step 121.3 ms | 4221.8 samples/s
  step   700/1558 | loss 0.1343 | data 0.1 ms | step 121.3 ms | 4221.0 samples/s
  step   750/1558 | loss 0.1388 | data 0.1 ms | step 120.3 ms | 4257.3 samples/s
  step   800/1558 | loss 0.1376 | data 0.1 ms | step 120.5 ms | 4249.7 samples/s
  step   850/1558 | loss 0.1331 | data 0.1 ms | step 121.3 ms | 4219.3 samples/s
  step   900/1558 | loss 0.1424 | data 0.1 ms | step 116.6 ms | 4392.5 samples/s
  step   950/1558 | loss 0.1407 | data 0.1 ms | step 111.1 ms | 4607.5 samples/s
  step  1000/1558 | loss 0.1369 | data 0.1 ms | step 111.0 ms | 4614.4 samples/s
  step  1050/1558 | loss 0.1313 | data 0.1 ms | step 111.5 ms | 4590.8 samples/s
  step  1100/1558 | loss 0.1308 | data 0.1 ms | step 111.4 ms | 4597.0 samples/s
  step  1150/1558 | loss 0.1296 | data 0.1 ms | step 111.6 ms | 4586.0 samples/s
  step  1200/1558 | loss 0.1293 | data 0.1 ms | step 109.9 ms | 4658.3 samples/s
  step  1250/1558 | loss 0.1326 | data 0.1 ms | step 109.8 ms | 4661.8 samples/s
  step  1300/1558 | loss 0.1312 | data 0.1 ms | step 109.8 ms | 4664.1 samples/s
  step  1350/1558 | loss 0.1340 | data 0.1 ms | step 110.0 ms | 4653.8 samples/s
  step  1400/1558 | loss 0.1296 | data 0.1 ms | step 111.6 ms | 4589.7 samples/s
  step  1450/1558 | loss 0.1331 | data 0.1 ms | step 117.3 ms | 4365.0 samples/s
  step  1500/1558 | loss 0.1252 | data 0.1 ms | step 117.2 ms | 4369.8 samples/s
  step  1550/1558 | loss 0.1344 | data 0.2 ms | step 117.6 ms | 4353.5 samples/s
Train Loss: 0.1344
Epoch 7
  step    50/1558 | loss 0.1332 | data 7.4 ms | step 117.4 ms | 4361.0 samples/s
  step   100/1558 | loss 0.1202 | data 0.1 ms | step 120.9 ms | 4233.5 samples/s
  step   150/1558 | loss 0.1276 | data 0.1 ms | step 114.0 ms | 4492.3 samples/s
  step   200/1558 | loss 0.1258 | data 0.1 ms | step 114.1 ms | 4487.3 samples/s
  step   250/1558 | loss 0.1353 | data 0.1 ms | step 114.0 ms | 4491.3 samples/s
  step   300/1558 | loss 0.1320 | data 0.1 ms | step 114.0 ms | 4492.9 samples/s
  step   350/1558 | loss 0.1253 | data 0.1 ms | step 114.2 ms | 4484.4 samples/s
  step   400/1558 | loss 0.1242 | data 0.1 ms | step 114.8 ms | 4461.5 samples/s
  step   450/1558 | loss 0.1296 | data 0.1 ms | step 121.3 ms | 4220.9 samples/s
  step   500/1558 | loss 0.1411 | data 0.1 ms | step 121.9 ms | 4199.9 samples/s
  step   550/1558 | loss 0.1371 | data 0.1 ms | step 121.3 ms | 4220.3 samples/s
  step   600/1558 | loss 0.1295 | data 0.1 ms | step 113.9 ms | 4495.6 samples/s
  step   650/1558 | loss 0.1284 | data 0.1 ms | step 110.4 ms | 4638.4 samples/s
  step   700/1558 | loss 0.1242 | data 0.1 ms | step 110.8 ms | 4622.6 samples/s
  step   750/1558 | loss 0.1269 | data 0.1 ms | step 110.8 ms | 4622.3 samples/s
  step   800/1558 | loss 0.1269 | data 0.1 ms | step 111.2 ms | 4606.0 samples/s
  step   850/1558 | loss 0.1221 | data 0.1 ms | step 110.8 ms | 4621.7 samples/s
  step   900/1558 | loss 0.1316 | data 0.1 ms | step 110.2 ms | 4645.3 samples/s
  step   950/1558 | loss 0.1345 | data 0.1 ms | step 110.9 ms | 4618.5 samples/s
  step  1000/1558 | loss 0.1271 | data 0.1 ms | step 110.7 ms | 4625.5 samples/s
  step  1050/1558 | loss 0.1319 | data 0.1 ms | step 116.4 ms | 4399.5 samples/s
  step  1100/1558 | loss 0.1217 | data 0.1 ms | step 121.7 ms | 4206.0 samples/s
  step  1150/1558 | loss 0.1289 | data 0.1 ms | step 120.8 ms | 4239.0 samples/s
  step  1200/1558 | loss 0.1312 | data 0.1 ms | step 120.5 ms | 4249.6 samples/s
  step  1250/1558 | loss 0.1301 | data 0.1 ms | step 120.4 ms | 4251.8 samples/s
  step  1300/1558 | loss 0.1292 | data 0.1 ms | step 120.9 ms | 4235.3 samples/s
