Starting DDP Training: World Size 1, Batch Size 256 (Global 256)
Epoch 1
  step  1200/1558 | loss 0.2014 | data 0.1 ms | step 139.7 ms | 3664.5 samples/s
  step  1250/1558 | loss 0.2083 | data 0.1 ms | step 139.6 ms | 3668.0 samples/s
  step  1300/1558 | loss 0.1913 | data 0.1 ms | step 139.3 ms | 3675.3 samples/s
  step  1350/1558 | loss 0.1851 | data 0.1 ms | step 139.3 ms | 3674.9 samples/s
  step  1400/1558 | loss 0.1886 | data 0.1 ms | step 139.7 ms | 3665.2 samples/s
  step  1450/1558 | loss 0.1829 | data 0.1 ms | step 137.6 ms | 3721.8 samples/s
  step  1500/1558 | loss 0.1763 | data 0.1 ms | step 136.6 ms | 3748.5 samples/s
  step  1550/1558 | loss 0.1790 | data 0.1 ms | step 135.9 ms | 3766.6 samples/s
Train Loss: 0.2147
Epoch 3
  step    50/1558 | loss 0.1623 | data 5.6 ms | step 136.2 ms | 3758.9 samples/s
  step   100/1558 | loss 0.1576 | data 0.1 ms | step 136.2 ms | 3759.5 samples/s
  step   150/1558 | loss 0.1606 | data 0.1 ms | step 135.9 ms | 3767.0 samples/s
  step   200/1558 | loss 0.1528 | data 0.1 ms | step 136.0 ms | 3765.0 samples/s
  step   250/1558 | loss 0.1703 | data 0.1 ms | step 136.2 ms | 3758.1 samples/s
  step   300/1558 | loss 0.1588 | data 0.1 ms | step 136.2 ms | 3758.9 samples/s
  step   350/1558 | loss 0.1613 | data 0.1 ms | step 136.4 ms | 3753.5 samples/s
  step   400/1558 | loss 0.1582 | data 0.1 ms | step 136.2 ms | 3759.6 samples/s
  step   450/1558 | loss 0.1656 | data 0.1 ms | step 136.3 ms | 3756.0 samples/s
  step   500/1558 | loss 0.1581 | data 0.1 ms | step 136.5 ms | 3752.0 samples/s
  step   550/1558 | loss 0.1390 | data 0.1 ms | step 135.9 ms | 3766.1 samples/s
  step   600/1558 | loss 0.1473 | data 0.1 ms | step 137.9 ms | 3712.7 samples/s
  step   650/1558 | loss 0.1546 | data 0.1 ms | step 139.6 ms | 3667.0 samples/s
  step   700/1558 | loss 0.1454 | data 0.1 ms | step 139.4 ms | 3673.1 samples/s
  step   750/1558 | loss 0.1481 | data 0.1 ms | step 139.6 ms | 3668.7 samples/s
  step   800/1558 | loss 0.1429 | data 0.1 ms | step 140.3 ms | 3648.9 samples/s
  step   850/1558 | loss 0.1399 | data 0.1 ms | step 136.2 ms | 3758.4 samples/s
  step   900/1558 | loss 0.1532 | data 0.1 ms | step 136.6 ms | 3747.7 samples/s
  step   950/1558 | loss 0.1262 | data 0.1 ms | step 138.1 ms | 3708.6 samples/s
  step  1000/1558 | loss 0.1300 | data 0.1 ms | step 136.4 ms | 3753.8 samples/s
  step  1050/1558 | loss 0.1507 | data 0.1 ms | step 138.7 ms | 3692.0 samples/s
  step  1100/1558 | loss 0.1318 | data 0.1 ms | step 139.9 ms | 3658.7 samples/s
  step  1150/1558 | loss 0.1450 | data 0.1 ms | step 136.6 ms | 3747.5 samples/s
  step  1200/1558 | loss 0.1547 | data 0.1 ms | step 136.6 ms | 3749.1 samples/s
  step  1250/1558 | loss 0.1579 | data 0.1 ms | step 136.5 ms | 3751.7 samples/s
  step  1300/1558 | loss 0.1393 | data 0.1 ms | step 136.7 ms | 3746.5 samples/s
  step  1350/1558 | loss 0.1351 | data 0.1 ms | step 136.7 ms | 3745.8 samples/s
  step  1400/1558 | loss 0.1359 | data 0.1 ms | step 136.1 ms | 3761.8 samples/s
  step  1450/1558 | loss 0.1410 | data 0.1 ms | step 136.5 ms | 3751.4 samples/s
  step  1500/1558 | loss 0.1252 | data 0.1 ms | step 136.7 ms | 3744.2 samples/s
  step  1550/1558 | loss 0.1351 | data 0.1 ms | step 136.3 ms | 3757.0 samples/s
Train Loss: 0.1476
Epoch 4
  step    50/1558 | loss 0.1139 | data 5.5 ms | step 136.4 ms | 3754.5 samples/s
  step   100/1558 | loss 0.1090 | data 0.1 ms | step 136.4 ms | 3752.6 samples/s
  step   150/1558 | loss 0.1167 | data 0.1 ms | step 136.3 ms | 3756.3 samples/s
  step   200/1558 | loss 0.1062 | data 0.1 ms | step 136.4 ms | 3754.0 samples/s
  step   250/1558 | loss 0.1269 | data 0.1 ms | step 136.1 ms | 3760.8 samples/s
  step   300/1558 | loss 0.1077 | data 0.1 ms | step 136.1 ms | 3761.0 samples/s
  step   350/1558 | loss 0.1267 | data 0.1 ms | step 136.2 ms | 3759.8 samples/s
  step   400/1558 | loss 0.1270 | data 0.1 ms | step 136.4 ms | 3754.4 samples/s
  step   450/1558 | loss 0.1301 | data 0.1 ms | step 136.2 ms | 3757.9 samples/s
  step   500/1558 | loss 0.1210 | data 0.1 ms | step 136.3 ms | 3757.3 samples/s
  step   550/1558 | loss 0.1162 | data 0.1 ms | step 136.4 ms | 3753.2 samples/s
  step   600/1558 | loss 0.1069 | data 0.1 ms | step 136.5 ms | 3750.6 samples/s
  step   650/1558 | loss 0.1062 | data 0.1 ms | step 136.2 ms | 3759.0 samples/s
  step   700/1558 | loss 0.1161 | data 0.1 ms | step 136.7 ms | 3745.1 samples/s
  step   750/1558 | loss 0.1116 | data 0.1 ms | step 136.5 ms | 3751.5 samples/s
  step   800/1558 | loss 0.1075 | data 0.1 ms | step 136.6 ms | 3746.9 samples/s
  step   850/1558 | loss 0.0920 | data 0.1 ms | step 136.8 ms | 3742.7 samples/s
  step   900/1558 | loss 0.1139 | data 0.1 ms | step 136.2 ms | 3758.5 samples/s
  step   950/1558 | loss 0.1024 | data 0.1 ms | step 138.8 ms | 3687.8 samples/s
  step  1000/1558 | loss 0.1032 | data 0.1 ms | step 135.9 ms | 3768.6 samples/s
  step  1050/1558 | loss 0.1048 | data 0.1 ms | step 136.1 ms | 3762.6 samples/s
  step  1100/1558 | loss 0.0979 | data 0.1 ms | step 136.1 ms | 3762.3 samples/s
  step  1150/1558 | loss 0.1025 | data 0.1 ms | step 135.9 ms | 3766.9 samples/s
  step  1200/1558 | loss 0.1219 | data 0.1 ms | step 138.0 ms | 3709.3 samples/s
  step  1250/1558 | loss 0.1213 | data 0.1 ms | step 136.3 ms | 3757.2 samples/s
  step  1300/1558 | loss 0.0993 | data 0.1 ms | step 136.0 ms | 3763.9 samples/s
  step  1350/1558 | loss 0.1048 | data 0.1 ms | step 136.2 ms | 3760.5 samples/s
  step  1400/1558 | loss 0.1049 | data 0.1 ms | step 136.2 ms | 3758.6 samples/s
  step  1450/1558 | loss 0.1030 | data 0.1 ms | step 136.3 ms | 3756.0 samples/s
  step  1500/1558 | loss 0.1045 | data 0.1 ms | step 136.7 ms | 3745.2 samples/s
  step  1550/1558 | loss 0.1001 | data 0.1 ms | step 136.3 ms | 3755.4 samples/s
Train Loss: 0.1104
Epoch 5
  step    50/1558 | loss 0.0799 | data 5.6 ms | step 136.3 ms | 3757.2 samples/s
  step   100/1558 | loss 0.0771 | data 0.1 ms | step 136.4 ms | 3754.2 samples/s
  step   150/1558 | loss 0.0834 | data 0.1 ms | step 135.9 ms | 3766.6 samples/s
  step   200/1558 | loss 0.0820 | data 0.1 ms | step 136.0 ms | 3765.4 samples/s
  step   250/1558 | loss 0.1021 | data 0.1 ms | step 135.7 ms | 3773.3 samples/s
  step   300/1558 | loss 0.0849 | data 0.1 ms | step 136.0 ms | 3765.7 samples/s
  step   350/1558 | loss 0.0885 | data 0.1 ms | step 135.8 ms | 3770.5 samples/s
  step   400/1558 | loss 0.0995 | data 0.1 ms | step 135.9 ms | 3767.7 samples/s
  step   450/1558 | loss 0.0901 | data 0.1 ms | step 136.3 ms | 3756.7 samples/s
  step   500/1558 | loss 0.0952 | data 0.1 ms | step 137.9 ms | 3712.1 samples/s
  step   550/1558 | loss 0.0875 | data 0.1 ms | step 139.7 ms | 3665.7 samples/s
  step   600/1558 | loss 0.0828 | data 0.1 ms | step 139.6 ms | 3666.8 samples/s
  step   650/1558 | loss 0.0838 | data 0.1 ms | step 139.7 ms | 3666.1 samples/s
  step   700/1558 | loss 0.0848 | data 0.1 ms | step 139.5 ms | 3671.1 samples/s
  step   750/1558 | loss 0.0839 | data 0.1 ms | step 139.6 ms | 3667.7 samples/s
  step   800/1558 | loss 0.0823 | data 0.1 ms | step 139.5 ms | 3669.8 samples/s
